State,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
T,S,-0.00,0.03,0.98,3.97,0.55,-0.55,-23.33,51.93,-400.00
T,S,-0.00,0.03,0.98,4.27,0.73,-0.67,-22.72,51.49,-400.00
T,S,-0.01,0.03,0.98,4.03,0.79,-0.67,-22.72,51.49,-400.00
T,S,-0.01,0.03,0.98,4.09,0.79,-0.67,-22.72,51.49,-400.00
T,S,-0.01,0.02,0.98,4.15,0.79,-0.67,-22.72,51.49,-400.00
T,S,-0.01,0.02,0.98,4.15,0.79,-0.43,-23.05,51.49,-400.00
T,S,-0.01,0.02,0.98,3.91,0.92,-0.67,-23.05,51.49,-400.00
T,S,-0.01,0.03,0.98,3.85,1.04,-0.61,-23.05,51.49,-400.00
T,S,-0.00,0.03,0.98,4.03,0.98,-0.55,-23.39,51.14,-400.00
T,S,-0.00,0.03,0.98,4.09,0.92,-0.73,-23.39,51.14,-400.00
T,S,-0.00,0.03,0.98,3.91,0.67,-0.61,-23.39,51.14,-400.00
T,S,-0.00,0.02,0.98,3.78,0.67,-0.79,-23.39,51.14,-400.00
T,S,-0.01,0.03,0.98,4.09,0.85,-0.61,-23.01,51.66,-400.00
T,S,-0.01,0.02,0.98,4.15,0.67,-0.67,-23.01,51.66,-400.00
T,S,-0.01,0.02,0.98,4.03,0.79,-0.67,-23.01,51.66,-400.00
T,S,-0.01,0.02,0.98,4.21,0.79,-0.67,-23.07,51.48,-400.00
T,S,-0.00,0.03,0.98,4.03,0.73,-0.55,-23.07,51.48,-400.00
T,S,-0.01,0.03,0.98,3.85,0.73,-0.55,-23.07,51.48,-400.00
T,S,-0.01,0.02,0.98,3.91,0.73,-0.49,-23.24,52.34,-400.00
T,S,-0.01,0.03,0.98,4.03,0.73,-0.67,-23.24,52.34,-400.00
T,S,-0.01,0.03,0.98,4.03,0.67,-0.49,-23.24,52.34,-400.00
T,S,-0.01,0.03,0.98,3.97,0.79,-0.61,-23.24,52.34,-400.00
T,S,-0.01,0.02,0.98,3.97,0.92,-0.61,-23.24,51.89,-400.00
T,S,-0.01,0.02,0.98,3.85,0.67,-0.67,-23.24,51.89,-400.00
T,S,-0.01,0.02,0.98,4.09,0.79,-0.49,-23.24,51.89,-400.00
T,S,-0.01,0.02,0.98,3.91,0.79,-0.61,-23.33,51.86,-400.00
T,S,-0.01,0.02,0.98,4.03,0.79,-0.61,-23.33,51.86,-400.00
T,S,-0.01,0.03,0.98,3.97,0.79,-0.55,-23.33,51.86,-400.00
T,S,-0.01,0.03,0.98,4.03,0.92,-0.61,-23.33,51.86,-400.00
T,S,-0.01,0.02,0.98,3.97,0.85,-0.67,-22.92,51.72,-400.00
T,S,-0.01,0.03,0.98,3.97,0.67,-0.61,-22.92,51.72,-400.00
T,S,-0.01,0.03,0.98,3.85,0.85,-0.61,-22.92,51.72,-400.00
T,S,-0.00,0.02,0.98,3.91,0.92,-0.49,-23.44,51.12,-400.00
T,S,-0.00,0.02,0.98,4.03,0.67,-0.61,-23.44,51.12,-400.00
T,S,-0.01,0.02,0.98,3.97,0.67,-0.67,-23.44,51.12,-400.00
T,S,-0.01,0.03,0.98,3.85,0.92,-0.55,-23.44,51.12,-400.00
T,S,-0.01,0.03,0.98,3.91,0.79,-0.49,-23.55,51.99,-400.00
T,S,-0.01,0.02,0.98,3.85,0.85,-0.49,-23.55,51.99,-400.00
T,S,-0.00,0.02,0.98,3.78,0.92,-0.67,-23.55,51.99,-400.00
T,S,-0.01,0.02,0.98,4.09,0.85,-0.67,-22.84,51.55,-400.00
T,S,-0.01,0.02,0.98,4.03,0.98,-0.67,-22.84,51.55,-400.00
T,S,-0.01,0.03,0.98,3.91,0.92,-0.73,-22.84,51.55,-400.00
T,S,-0.01,0.03,0.98,3.78,0.92,-0.61,-23.32,51.55,-400.00
T,S,-0.01,0.03,0.98,3.72,0.79,-0.61,-23.32,51.55,-400.00
T,S,-0.00,0.03,0.98,3.54,0.92,-0.73,-23.32,51.55,-400.00
T,S,-0.00,0.03,0.98,3.97,0.79,-0.49,-23.32,51.55,-400.00
T,S,-0.01,0.02,0.98,4.09,0.85,-0.73,-22.96,51.84,-400.00
T,S,-0.01,0.02,0.99,3.54,0.85,-0.85,-22.96,51.84,-400.00
T,S,-0.00,0.03,0.97,3.91,0.73,-0.67,-22.96,51.84,-400.00
T,S,-0.00,0.03,0.97,3.85,0.67,-0.55,-23.30,51.14,-400.00
T,S,-0.01,0.02,0.98,3.91,1.16,-0.61,-23.30,51.14,-400.00
T,S,-0.00,0.03,0.98,3.97,0.85,-0.73,-23.30,51.14,-400.00
T,S,-0.00,0.04,0.98,3.91,0.73,-0.61,-23.30,51.14,-400.00
T,S,-0.00,0.03,0.98,4.15,0.85,-0.55,-23.58,51.46,-400.00
T,S,-0.01,0.03,0.98,4.09,0.55,-0.55,-23.58,51.46,-400.00
T,S,-0.00,0.03,0.98,3.91,0.73,-0.49,-23.58,51.46,-400.00
T,S,-0.01,0.02,0.98,4.09,0.73,-0.61,-23.60,52.05,-400.00
T,S,-0.01,0.03,0.98,4.03,0.61,-0.55,-23.60,52.05,-400.00
T,S,-0.01,0.03,0.98,4.03,0.85,-0.61,-23.60,52.05,-400.00
T,S,-0.00,0.03,0.98,4.03,0.67,-0.73,-23.11,51.81,-400.00
T,S,-0.00,0.02,0.98,4.21,0.67,-0.61,-23.11,51.81,-400.00
T,S,-0.00,0.02,0.98,4.03,0.73,-0.79,-23.11,51.81,-400.00
T,S,-0.01,0.02,0.98,4.03,0.79,-0.61,-23.11,51.81,-400.00
T,S,-0.01,0.02,0.98,4.09,0.79,-0.67,-23.71,51.61,-400.00
T,S,-0.01,0.02,0.98,4.15,1.04,-0.49,-23.71,51.61,-400.00
T,S,-0.01,0.02,0.98,4.09,0.85,-0.73,-23.71,51.61,-400.00
T,S,-0.00,0.03,0.98,4.03,0.61,-0.55,-23.22,51.75,-400.00
T,S,-0.00,0.03,0.99,4.09,0.79,-0.49,-23.22,51.75,-400.00
T,S,-0.01,0.03,0.98,4.21,0.73,-0.61,-23.22,51.75,-400.00
T,S,-0.01,0.03,0.98,3.97,0.85,-0.61,-23.22,51.75,-400.00
T,S,-0.01,0.03,0.98,3.78,0.79,-0.55,-23.95,51.75,-400.00
T,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-23.95,51.75,-400.00
T,S,-0.01,0.02,0.98,3.97,0.85,-0.43,-23.95,51.75,-400.00
T,S,-0.01,0.03,0.98,4.27,0.79,-0.43,-23.40,51.66,-400.00
T,S,-0.00,0.03,0.98,4.15,0.73,-0.67,-23.40,51.66,-400.00
T,S,-0.01,0.03,0.98,4.15,0.85,-0.67,-23.40,51.66,-400.00
T,S,-0.01,0.03,0.98,4.21,0.67,-0.61,-23.40,51.66,-400.00
T,S,-0.01,0.02,0.98,4.03,0.73,-0.55,-22.96,52.20,-400.00
T,S,-0.01,0.02,0.98,4.03,0.79,-0.61,-22.96,52.20,-400.00
T,S,-0.00,0.03,0.98,3.97,0.92,-0.55,-22.96,52.20,-400.00
T,S,-0.00,0.03,0.98,4.15,0.92,-0.67,-23.16,51.95,-400.00
T,S,-0.00,0.03,0.98,4.03,0.61,-0.67,-23.16,51.95,-400.00
T,S,-0.01,0.03,0.98,4.09,0.73,-0.61,-23.16,51.95,-400.00
T,S,-0.01,0.02,0.98,4.03,0.67,-0.61,-23.47,52.12,-400.00
T,S,-0.01,0.02,0.98,3.78,0.73,-0.49,-23.47,52.12,-400.00
T,S,-0.00,0.03,0.98,4.09,0.73,-0.61,-23.47,52.12,-400.00
T,S,-0.00,0.03,0.98,3.97,0.92,-0.55,-23.47,52.12,-400.00
T,S,-0.01,0.03,0.98,4.03,0.79,-0.43,-24.29,52.14,-400.00
T,S,-0.01,0.03,0.98,4.33,0.73,-0.61,-24.29,52.14,-400.00
T,S,-0.00,0.02,0.98,4.09,0.85,-0.61,-24.29,52.14,-400.00
T,S,-0.00,0.02,0.98,4.33,0.67,-0.61,-23.40,51.39,-400.00
T,S,-0.01,0.02,0.98,4.15,0.61,-0.49,-23.40,51.39,-400.00
T,S,-0.01,0.03,0.98,3.97,0.79,-0.61,-23.40,51.39,-400.00
T,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-23.40,51.39,-400.00
T,S,-0.00,0.02,0.98,4.15,0.79,-0.49,-22.41,51.42,-400.00
T,S,-0.00,0.02,0.98,4.03,0.73,-0.55,-22.41,51.42,-400.00
T,S,-0.01,0.02,0.98,4.09,0.92,-0.61,-22.41,51.42,-400.00
T,S,-0.01,0.03,0.98,4.03,0.98,-0.61,-22.86,51.50,-400.00
T,S,-0.01,0.03,0.98,3.97,0.79,-0.43,-22.86,51.50,-400.00
T,S,-0.01,0.03,0.98,4.03,0.79,-0.55,-22.86,51.50,-400.00
T,S,-0.00,0.03,0.98,4.03,0.73,-0.55,-23.72,51.73,-400.00
T,S,-0.00,0.03,0.98,4.21,0.98,-0.61,-23.72,51.73,-400.00
T,S,-0.00,0.03,0.98,4.21,0.92,-0.73,-23.72,51.73,-400.00
T,S,-0.01,0.03,0.98,4.15,0.67,-0.61,-23.72,51.73,-400.00
T,S,-0.01,0.03,0.98,4.09,0.73,-0.61,-23.40,52.01,-400.00
T,S,-0.01,0.02,0.98,3.91,0.85,-0.73,-23.40,52.01,-400.00
T,S,-0.01,0.02,0.98,4.09,0.73,-0.73,-23.40,52.01,-400.00
T,S,-0.00,0.03,0.98,4.15,0.92,-0.73,-22.92,51.66,-400.00
T,S,-0.00,0.03,0.98,4.03,0.73,-0.61,-22.92,51.66,-400.00
T,S,-0.00,0.03,0.98,4.09,0.79,-0.67,-22.92,51.66,-400.00
T,S,-0.01,0.03,0.98,4.03,0.85,-0.67,-22.92,51.66,-400.00
T,S,-0.00,0.03,0.98,4.09,0.73,-0.61,-23.58,51.22,-400.00
T,S,-0.01,0.02,0.98,4.09,0.79,-0.43,-23.58,51.22,-400.00
T,S,-0.00,0.02,0.98,4.03,0.73,-0.49,-23.58,51.22,-400.00
T,S,-0.01,0.03,0.98,4.15,0.67,-0.61,-23.17,51.75,-400.00
T,S,-0.01,0.03,0.98,3.97,0.85,-0.61,-23.17,51.75,-400.00
T,S,-0.00,0.03,0.98,3.85,1.04,-0.79,-23.17,51.75,-400.00
T,S,-0.01,0.03,0.98,4.03,0.73,-0.73,-23.17,51.75,-400.00
T,S,-0.01,0.03,0.98,4.03,0.85,-0.61,-22.97,52.11,-400.00
T,S,-0.00,0.03,0.98,3.91,0.98,-0.67,-22.97,52.11,-400.00
T,S,-0.01,0.03,0.98,4.03,0.79,-0.61,-22.97,52.11,-400.00
T,S,-0.01,0.03,0.98,4.09,0.55,-0.67,-23.30,51.67,-400.00
T,S,-0.01,0.03,0.98,4.03,0.92,-0.43,-23.30,51.67,-400.00
T,S,-0.00,0.02,0.98,3.91,0.79,-0.43,-23.30,51.67,-400.00
T,S,-0.00,0.03,0.98,4.09,0.79,-0.67,-23.33,51.22,-400.00
T,S,-0.01,0.02,0.99,4.15,0.79,-0.67,-23.33,51.22,-400.00
T,S,-0.01,0.03,0.99,4.09,0.73,-0.55,-23.33,51.22,-400.00
T,S,-0.00,0.03,0.98,4.27,0.61,-0.67,-23.33,51.22,-400.00
T,S,-0.00,0.03,0.98,4.03,0.85,-0.67,-23.41,51.57,-400.00
T,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-23.41,51.57,-400.00
T,S,-0.01,0.03,0.98,4.15,0.37,-0.61,-23.41,51.57,-400.00
T,S,-0.01,0.02,0.98,3.97,0.73,-0.61,-22.94,51.88,-400.00
T,S,-0.01,0.02,0.98,4.09,0.85,-0.55,-22.94,51.88,-400.00
T,S,-0.01,0.02,0.98,4.21,0.49,-0.55,-22.94,51.88,-400.00
T,S,-0.01,0.03,0.98,4.03,0.67,-0.61,-22.94,51.88,-400.00
T,S,-0.01,0.03,0.98,3.97,0.61,-0.67,-23.86,52.12,-400.00
T,S,-0.01,0.03,0.98,4.03,0.61,-0.73,-23.86,52.12,-400.00
T,S,-0.00,0.03,0.98,4.15,0.55,-0.67,-23.86,52.12,-400.00
T,S,-0.01,0.03,0.98,3.97,0.98,-0.61,-23.44,51.78,-400.00
T,S,-0.01,0.03,0.98,4.09,0.98,-0.49,-23.44,51.78,-400.00
T,S,-0.01,0.03,0.98,3.97,1.04,-0.67,-23.44,51.78,-400.00
T,S,-0.00,0.03,0.98,4.09,0.98,-0.61,-23.12,51.87,-400.00
T,S,-0.00,0.02,0.98,4.03,0.98,-0.55,-23.12,51.87,-400.00
T,S,-0.01,0.03,0.98,4.09,0.73,-0.61,-23.12,51.87,-400.00
T,S,-0.01,0.03,0.98,3.85,0.79,-0.67,-23.12,51.87,-400.00
T,S,-0.01,0.03,0.98,3.97,0.85,-0.61,-22.66,51.79,-400.00
T,S,-0.01,0.03,0.98,4.09,0.61,-0.49,-22.66,51.79,-400.00
T,S,-0.00,0.02,0.98,4.09,0.79,-0.55,-22.66,51.79,-400.00
T,S,-0.01,0.03,0.98,3.97,0.67,-0.61,-23.84,52.14,-400.00
T,S,-0.01,0.03,0.98,3.97,0.79,-0.55,-23.84,52.14,-400.00
T,S,-0.01,0.03,0.98,4.09,0.73,-0.67,-23.84,52.14,-400.00
T,S,-0.00,0.03,0.98,4.03,0.92,-0.49,-23.84,52.14,-400.00
T,S,-0.01,0.02,0.98,3.91,0.61,-0.55,-23.16,51.78,-400.00
T,S,-0.01,0.03,0.98,4.27,0.73,-0.73,-23.16,51.78,-400.00
T,S,-0.01,0.03,0.98,3.78,0.73,-0.67,-23.16,51.78,-400.00
T,S,-0.01,0.03,0.98,4.03,0.67,-0.49,-23.93,51.66,-400.00
T,S,-0.01,0.03,0.98,3.91,0.79,-0.49,-23.93,51.66,-400.00
T,S,-0.01,0.03,0.98,3.97,0.92,-0.67,-23.93,51.66,-400.00
T,S,-0.01,0.03,0.98,3.91,0.85,-0.73,-23.93,51.66,-400.00
T,S,-0.01,0.03,0.98,3.91,0.67,-0.61,-23.30,52.04,-400.00
T,S,-0.00,0.03,0.98,4.03,0.73,-0.61,-23.30,52.04,-400.00
T,S,-0.01,0.03,0.98,3.97,0.73,-0.61,-23.30,52.04,-400.00
T,S,-0.00,0.03,0.98,4.03,0.79,-0.67,-23.33,52.48,-400.00
T,S,-0.01,0.03,0.98,4.21,0.73,-0.79,-23.33,52.48,-400.00
T,S,-0.01,0.03,0.98,4.09,0.79,-0.67,-23.33,52.48,-400.00
T,S,-0.01,0.03,0.98,4.09,0.73,-0.55,-23.52,52.34,-400.00
T,S,-0.00,0.03,0.98,3.91,0.73,-0.49,-23.52,52.34,-400.00
T,S,-0.00,0.03,0.98,4.15,0.79,-0.55,-23.52,52.34,-400.00
T,S,-0.01,0.03,0.98,4.27,0.85,-0.67,-23.52,52.34,-400.00
T,S,-0.01,0.03,0.98,3.97,0.61,-0.55,-23.66,51.70,-400.00
T,S,-0.01,0.03,0.98,4.03,0.79,-0.61,-23.66,51.70,-400.00
T,S,-0.01,0.03,0.98,4.03,0.79,-0.73,-23.66,51.70,-400.00
T,S,-0.01,0.03,0.98,4.09,0.92,-0.61,-23.82,51.37,-400.00
T,S,-0.01,0.03,0.98,4.21,0.73,-0.61,-23.82,51.37,-400.00
T,S,-0.01,0.03,0.98,3.97,0.79,-0.55,-23.82,51.37,-400.00
T,S,-0.01,0.03,0.98,4.09,0.92,-0.73,-23.82,51.37,-400.00
T,S,-0.01,0.02,0.98,4.27,0.79,-0.49,-23.12,52.25,-400.00
T,S,-0.01,0.03,0.98,4.21,0.79,-0.67,-23.12,52.25,-400.00
T,S,-0.01,0.03,0.98,4.03,0.85,-0.55,-23.12,52.25,-400.00
T,S,-0.01,0.03,0.98,3.97,0.67,-0.55,-23.99,51.56,-400.00
T,S,-0.01,0.03,0.98,3.85,0.73,-0.67,-23.99,51.56,-400.00
T,S,-0.00,0.03,0.98,3.97,0.85,-0.61,-23.99,51.56,-400.00
T,S,-0.01,0.02,0.98,4.15,0.79,-0.49,-23.99,52.42,-400.00
T,S,-0.01,0.03,0.98,4.03,0.85,-0.49,-23.99,52.42,-400.00
T,S,-0.01,0.03,0.98,4.03,0.85,-0.79,-23.99,52.42,-400.00
T,S,-0.01,0.03,0.98,3.97,0.61,-0.73,-23.99,52.42,-400.00
T,S,-0.00,0.03,0.98,4.09,0.67,-0.55,-23.68,51.66,-400.00
T,S,-0.01,0.03,0.98,4.09,0.55,-0.61,-23.68,51.66,-400.00
T,S,-0.01,0.03,0.98,4.21,0.85,-0.73,-23.68,51.66,-400.00
T,S,-0.01,0.03,0.98,3.85,0.85,-0.67,-23.40,52.27,-400.00
T,S,-0.01,0.03,0.98,3.85,0.67,-0.67,-23.40,52.27,-400.00
T,S,-0.00,0.03,0.98,4.03,0.85,-0.61,-23.40,52.27,-400.00
T,S,-0.01,0.03,0.98,4.09,0.73,-0.67,-23.40,52.27,-400.00
T,S,-0.00,0.03,0.98,4.09,0.85,-0.61,-23.08,52.38,-400.00
T,S,-0.00,0.03,0.98,4.03,0.79,-0.61,-23.08,52.38,-400.00
T,S,-0.01,0.03,0.98,4.03,0.79,-0.73,-23.08,52.38,-400.00
T,S,-0.01,0.03,0.98,4.27,0.67,-0.55,-23.32,52.01,-400.00
T,S,-0.01,0.03,0.98,4.09,0.85,-0.49,-23.32,52.01,-400.00
T,S,-0.01,0.03,0.98,4.27,0.85,-0.67,-23.32,52.01,-400.00
T,S,-0.00,0.03,0.98,4.03,0.98,-0.49,-23.32,52.01,-400.00
T,S,-0.01,0.03,0.98,3.97,0.92,-0.61,-23.75,52.08,-400.00
T,S,-0.00,0.03,0.98,4.03,0.79,-0.55,-23.75,52.08,-400.00
T,S,-0.01,0.03,0.98,4.09,0.73,-0.61,-23.75,52.08,-400.00
T,S,-0.01,0.03,0.98,4.27,0.73,-0.61,-22.71,51.84,-400.00
T,S,-0.01,0.03,0.98,4.03,0.73,-0.49,-22.71,51.84,-400.00
T,S,-0.00,0.03,0.98,4.03,0.67,-0.79,-22.71,51.84,-400.00
T,S,-0.01,0.03,0.98,3.97,0.85,-0.49,-22.69,51.78,-400.00
T,S,-0.00,0.03,0.98,4.03,0.73,-0.55,-22.69,51.78,-400.00
T,S,-0.01,0.03,0.98,4.09,1.04,-0.55,-22.69,51.78,-400.00
T,S,-0.00,0.03,0.98,4.09,0.79,-0.67,-22.69,51.78,-400.00
T,S,-0.01,0.03,0.98,4.03,0.85,-0.73,-23.46,51.49,-400.00
T,S,-0.01,0.03,0.98,4.27,0.98,-0.55,-23.46,51.49,-400.00
T,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-23.46,51.49,-400.00
T,S,-0.01,0.03,0.98,4.21,0.73,-0.61,-23.19,51.81,-400.00
T,S,-0.01,0.03,0.98,4.03,0.61,-0.55,-23.19,51.81,-400.00
T,S,-0.01,0.03,0.98,4.09,0.55,-0.61,-23.19,51.81,-400.00
T,S,-0.01,0.03,0.98,4.15,0.61,-0.67,-23.19,51.81,-400.00
T,S,-0.01,0.03,0.98,4.09,0.67,-0.67,-23.44,52.05,-400.00
T,S,-0.00,0.03,0.98,4.09,0.92,-0.55,-23.44,52.05,-400.00
T,S,-0.01,0.03,0.98,4.09,0.98,-0.61,-23.44,52.05,-400.00
T,S,-0.01,0.03,0.98,4.09,0.79,-0.67,-23.40,51.66,-400.00
T,S,-0.00,0.03,0.98,4.21,0.73,-0.67,-23.40,51.66,-400.00
T,S,-0.01,0.03,0.98,3.97,0.73,-0.61,-23.40,51.66,-400.00
T,S,-0.01,0.03,0.98,3.97,0.92,-0.73,-23.22,51.54,-400.00
T,S,-0.01,0.03,0.98,4.15,0.85,-0.67,-23.22,51.54,-400.00
T,S,-0.01,0.03,0.98,4.15,0.79,-0.55,-23.22,51.54,-400.00
T,S,-0.01,0.03,0.98,3.91,0.79,-0.61,-23.22,51.54,-400.00
T,S,-0.01,0.03,0.98,3.97,0.85,-0.55,-23.49,52.16,-400.00
T,S,-0.01,0.02,1.00,4.88,-1.22,-0.79,-23.49,52.16,-400.00
T,S,-0.01,0.03,0.99,4.09,0.49,-0.49,-23.49,52.16,-400.00
T,S,-0.01,0.03,0.98,4.58,-0.61,-0.67,-23.91,51.94,-400.00
T,S,-0.00,0.03,0.97,3.78,1.59,-0.55,-23.91,51.94,-400.00
T,S,-0.00,0.03,0.97,4.21,0.37,-0.67,-23.91,51.94,-400.00
T,S,-0.01,0.03,0.97,4.33,0.06,-0.79,-23.91,51.94,-400.00
T,S,-0.00,0.03,0.95,6.23,-4.52,-1.65,-23.22,51.62,-400.00
T,S,0.01,0.03,0.91,1.95,5.25,-1.65,-23.22,51.62,-400.00
T,S,0.00,0.02,0.98,5.13,-2.01,-2.01,-23.22,51.62,-400.00
T,S,-0.01,0.02,0.98,4.33,0.43,-1.04,-23.21,51.70,-400.00
T,S,-0.01,0.02,0.98,4.94,-0.98,-1.10,-23.21,51.70,-400.00
T,S,-0.00,0.02,0.97,4.46,0.18,-0.98,-23.21,51.70,-400.00
T,S,-0.01,0.02,0.97,4.52,-0.37,-0.67,-23.21,51.70,-400.00
T,S,-0.01,0.02,0.98,4.46,-0.49,-0.06,-23.75,52.01,-400.00
T,S,0.10,0.02,0.97,3.72,1.22,2.69,-23.75,52.01,-400.00
T,S,-0.19,-0.03,1.10,4.58,2.69,28.38,-23.75,52.01,-400.00
T,S,-0.04,0.06,0.96,-4.33,21.12,19.65,-23.08,52.53,-400.00
T,S,-0.06,0.07,0.98,1.40,13.00,1.77,-23.08,52.53,-400.00
T,S,-0.06,0.05,0.99,4.64,13.67,-0.12,-23.08,52.53,-400.00
T,S,-0.00,0.03,1.00,16.54,17.52,-3.48,-22.18,51.98,-400.00
T,S,0.06,0.02,0.99,33.51,25.57,-0.79,-22.18,51.98,-400.00
T,S,0.03,0.02,0.99,39.61,29.54,-0.06,-22.18,51.98,-400.00
T,S,0.13,-0.02,0.99,63.17,33.81,-0.18,-22.18,51.98,-400.00
T,S,0.04,-0.08,0.99,92.16,37.48,2.93,-23.07,51.62,-400.00
T,S,0.01,-0.03,1.05,61.58,61.46,0.61,-23.07,51.62,-400.00
T,S,0.09,-0.07,0.95,31.01,82.34,0.61,-23.07,51.62,-400.00
T,S,0.14,-0.07,0.94,38.39,87.10,0.31,-22.63,51.11,-400.00
T,S,0.19,-0.02,1.17,66.96,80.51,3.11,-22.63,51.11,-400.00
T,S,0.24,-0.00,1.26,-63.60,85.33,4.94,-22.63,51.11,-400.00
T,S,0.31,0.01,0.90,-101.62,86.12,8.61,-22.63,51.11,-400.00
T,S,0.26,0.01,1.01,-93.14,86.18,15.26,-21.98,51.14,-400.00
T,S,0.39,-0.05,0.80,-76.54,81.48,13.18,-21.98,51.14,-400.00
T,S,0.20,-0.07,0.72,-22.95,82.95,20.75,-21.98,51.14,-400.00
T,S,0.35,-0.10,1.24,85.39,64.82,12.70,-20.19,50.93,-400.00
T,S,0.19,-0.06,1.07,40.89,36.07,14.34,-20.19,50.93,-400.00
T,S,0.27,-0.01,1.11,24.84,-5.13,-1.16,-20.19,50.93,-400.00
T,S,0.28,-0.02,1.11,6.59,-15.87,2.20,-20.19,49.94,-400.00
T,S,0.51,-0.18,1.15,-31.13,-13.24,18.13,-19.54,49.94,-400.00
T,S,0.18,-0.18,1.12,-21.73,-15.38,18.74,-19.54,49.94,-400.00
T,S,0.24,-0.16,1.11,-42.18,-47.00,-15.14,-19.54,49.94,-400.00
T,S,0.29,-0.07,0.87,-30.40,-55.79,-22.28,-18.38,47.42,-400.00
T,S,0.24,-0.01,0.93,23.93,-52.25,-23.01,-18.38,47.42,-400.00
T,S,0.15,0.05,0.89,33.02,-55.11,-23.13,-18.38,47.42,-400.00
T,S,0.10,0.13,1.00,31.74,-58.47,-24.60,-18.91,45.32,-400.00
T,S,0.18,0.21,0.75,-35.46,-44.74,-28.93,-18.91,45.32,-400.00
T,S,0.33,0.09,0.60,-10.62,-29.91,1.83,-18.91,45.32,-400.00
T,S,0.20,-0.07,1.13,-1.71,-8.30,33.69,-18.91,45.32,-400.00
T,S,0.13,-0.11,1.20,-87.95,-7.26,22.95,-17.46,43.95,-400.00
T,S,0.19,-0.00,0.59,-199.22,1.77,2.32,-17.46,43.95,-400.00
T,S,0.03,0.13,0.50,-49.62,25.70,5.55,-17.46,43.95,-400.00
T,S,0.19,0.14,0.56,170.96,37.29,-3.85,-17.08,43.32,-400.00
T,S,0.27,-0.09,0.41,316.47,50.23,6.77,-17.08,43.32,-400.00
T,S,0.21,-0.31,1.32,536.99,38.82,27.95,-17.08,43.32,-400.00
T,S,0.18,-0.19,1.50,319.82,8.61,28.56,-17.08,43.32,-400.00
T,S,0.24,-0.22,1.31,162.35,-4.64,27.59,-16.38,44.14,-400.00
T,S,0.19,-0.23,1.15,-37.23,-24.84,40.95,-16.38,44.14,-400.00
T,S,0.15,-0.28,0.82,-95.34,-39.86,30.40,-16.38,44.14,-400.00
T,S,0.16,-0.27,0.88,-18.37,-65.61,12.39,-15.66,43.93,-400.00
T,S,0.14,-0.26,0.87,4.33,-78.55,2.50,-15.66,43.93,-400.00
T,S,0.20,-0.24,0.75,7.02,-93.02,-5.49,-15.66,43.93,-400.00
T,S,0.24,-0.32,0.64,-26.61,-71.59,7.51,-14.06,43.60,-400.00
T,S,0.17,-0.36,0.57,-51.21,-35.64,9.28,-14.06,43.60,-400.00
T,S,0.03,-0.36,0.91,-78.92,-9.77,-3.66,-14.06,43.60,-400.00
T,S,0.09,-0.12,0.82,-134.52,15.08,-27.10,-14.06,43.60,-400.00
T,S,0.14,0.04,0.98,-75.07,2.38,-13.55,-15.03,43.03,-400.00
T,S,0.11,0.02,1.09,-63.96,-7.20,-0.31,-15.03,43.03,-400.00
T,S,0.07,-0.08,0.85,-101.38,-15.69,13.49,-15.03,43.03,-400.00
T,S,0.06,-0.13,0.80,-62.19,-1.71,9.58,-14.40,43.19,-400.00
T,S,0.05,-0.08,0.99,-18.55,12.08,-5.37,-14.40,43.19,-400.00
T,S,0.06,-0.03,1.14,-12.02,20.94,-12.02,-14.40,43.19,-400.00
T,S,0.06,0.05,1.19,-15.44,25.15,-18.86,-14.40,43.19,-400.00
T,S,0.07,0.11,1.11,38.51,-13.67,-16.36,-14.61,43.52,-400.00
T,S,0.10,0.11,1.23,60.97,-35.46,-1.53,-14.61,43.52,-400.00
T,S,0.13,0.04,1.13,20.02,-39.25,8.54,-14.61,43.52,-400.00
T,S,0.08,-0.10,0.94,-30.82,-42.66,22.95,-13.62,43.09,-400.00
T,S,0.05,-0.17,0.90,-45.78,-32.35,15.81,-13.62,43.09,-400.00
T,S,0.05,-0.15,0.90,-50.23,-24.05,8.61,-13.62,43.09,-400.00
T,S,0.02,-0.05,0.90,-59.20,-17.46,-4.58,-13.81,42.65,-400.00
T,S,0.03,0.08,0.91,-74.34,-15.01,-8.73,-13.81,42.65,-400.00
T,S,0.05,0.10,0.65,-62.56,-8.61,0.00,-13.81,42.65,-400.00
T,S,0.05,0.06,0.68,-14.83,-6.10,7.14,-13.81,42.65,-400.00
T,S,0.04,-0.04,1.03,45.23,2.69,11.41,-13.49,42.44,-400.00
T,S,0.06,-0.03,0.93,2.01,1.59,3.91,-13.49,42.44,-400.00
T,S,0.07,-0.01,0.94,2.62,-2.62,1.65,-13.49,42.44,-400.00
T,S,0.05,-0.01,0.96,-3.17,-1.53,1.34,-13.43,41.89,-400.00
T,S,0.04,0.01,0.93,-3.97,0.98,-2.62,-13.43,41.89,-400.00
T,S,0.04,0.04,1.05,3.11,2.08,-4.88,-13.43,41.89,-400.00
T,S,0.05,0.04,1.00,-5.55,1.53,-4.88,-13.43,41.89,-400.00
